Formula Workfunction HoF E_Hull IP(M) IP(X) IP(T) EA(M) EA(X) EA(T) EN(M) EN(X) EN(T) Length(x) r-(M) r-(X) r-(T)
Mo2H2NO2 2.311684118 -0.6962750879999999 0.350469652 7.0942 14.5341 13.017 0.749 -0.07 1.827 2.16 3.04 2.82 282.7 70.2 48.8 41.4
Ti2H2NO2 2.172653965 -1.644564329 0.147477901 6.8282 14.5341 13.017 0.087 -0.07 1.827 1.54 3.04 2.82 306.0 48.9 48.8 41.4
Zr2H2NO2 2.342079464 -1.665463939 0.348531836 6.6339 14.5341 13.017 0.427 -0.07 1.827 1.33 3.04 2.82 327.5 79.0 48.8 41.4
Mo3C2H2O2 1.997014787 -0.442869216 0.347120705 7.0942 11.2603 13.017 0.749 1.262 1.827 2.16 2.55 2.82 292.4 70.2 59.6 41.4
Zr3C2H2O2 2.117075344 -1.368375141 0.227480016 6.6339 11.2603 13.017 0.427 1.262 1.827 1.33 2.55 2.82 333.2 79.0 59.6 41.4
Hf3H2N2O2 2.768793192 -1.551610561 0.372518067 6.825 14.5341 13.017 0.178 -0.07 1.827 1.3 3.04 2.82 317.8 82.9 48.8 41.4
Sc3H2N2O2 1.793038091 -1.903654496 0.210079435 6.5614 14.5341 13.017 0.189 -0.07 1.827 1.36 3.04 2.82 320.2 53.9 48.8 41.4
W3H2N2O2 2.870550432 -0.410512225 0.421728587 7.98 14.5341 13.017 0.816 -0.07 1.827 2.36 3.04 2.82 283.70000000000005 74.6 48.8 41.4
Cr3C2F2 6.227888685 -0.855879462 0.229426318 6.766 11.2603 17.4228 0.6758 1.262 3.401 1.66 2.55 3.98 295.7 42.7 59.6 36.0
Nb3C2F2 4.806968304 -1.363084189 0.184796028 6.7588 11.2603 17.4228 0.894 1.262 3.401 1.6 2.55 3.98 317.6 74.7 59.6 36.0
V3C2F2 5.747555556 -1.267993964 0.169393948 6.746 11.2603 17.4228 0.526 1.262 3.401 1.63 2.55 3.98 297.90000000000003 44.9 59.6 36.0
Cr3C2O2 6.633241997000001 -0.623093178 0.341631812 6.766 11.2603 13.618 0.6758 1.262 1.439 1.66 2.55 3.44 288.9 42.7 59.6 41.4
Nb3C2O2 5.194494982 -1.37102799 0.114148827 6.7588 11.2603 13.618 0.894 1.262 1.439 1.6 2.55 3.44 313.9 74.7 59.6 41.4
V3C2O2 6.38282649 -1.107298395 0.187953818 6.746 11.2603 13.618 0.526 1.262 1.439 1.63 2.55 3.44 292.4 44.9 59.6 41.4
Hf3F2N2 3.581515296 -2.125211153 0.215268555 6.825 14.5341 17.4228 0.178 -0.07 3.401 1.3 3.04 3.98 315.2 82.9 48.8 36.0
Sc3F2N2 4.029499195 -2.694769231 0.028984596 6.5614 14.5341 17.4228 0.189 -0.07 3.401 1.36 3.04 3.98 318.1 53.9 48.8 36.0
W3F2N2 5.006098947 -0.630834388 0.399941503 7.98 14.5341 17.4228 0.816 -0.07 3.401 2.36 3.04 3.98 280.6 74.6 48.8 36.0
Hf3N2O2 4.357243335 -2.386006235 0.08787343 6.825 14.5341 13.618 0.178 -0.07 1.439 1.3 3.04 3.44 321.3 82.9 48.8 41.4
Ta3N2O2 5.238300818 -1.54090005 0.320641291 7.89 14.5341 13.618 0.323 -0.07 1.439 1.5 3.04 3.44 305.6 78.4 48.8 41.4
Y3N2O2 5.675460697999999 -2.228160307 0.341837858 6.217 14.5341 13.618 0.308 -0.07 1.439 1.22 3.04 3.44 353.3 86.5 48.8 41.4
Mn4C3H2O2 1.679042179 -0.303720163 0.268824724 7.434 11.2603 13.017 -0.5 1.262 1.827 1.55 2.55 2.82 294.7 38.9 59.6 41.4
Ta4C3H2O2 2.395729642 -0.881711 0.193119783 7.89 11.2603 13.017 0.323 1.262 1.827 1.5 2.55 2.82 315.9 78.4 59.6 41.4
Y4C3H2O2 1.737415858 -0.9399721409999999 0.507868626 6.217 11.2603 13.017 0.308 1.262 1.827 1.22 2.55 2.82 357.2 86.5 59.6 41.4
Mn4H2N3O2 1.917367094 -0.479216907 0.182646496 7.434 14.5341 13.017 -0.5 -0.07 1.827 1.55 3.04 2.82 292.0 38.9 48.8 41.4
Ta4H2N3O2 2.75413148 -0.9726254609999999 0.434351631 7.89 14.5341 13.017 0.323 -0.07 1.827 1.5 3.04 2.82 321.20000000000005 78.4 48.8 41.4
Y4H2N3O2 2.027842007 -1.841986852 0.163297723 6.217 14.5341 13.017 0.308 -0.07 1.827 1.22 3.04 2.82 348.0 86.5 48.8 41.4
Mo3C2 4.813046074 0.457276117 0.6307921479999999 7.0942 11.2603 7.0942 0.749 1.262 0.749 2.16 2.55 2.16 291.59999999999997 70.2 59.6 70.2
Ti3C2 3.974776421 -0.381103554 0.361931186 6.8282 11.2603 6.8282 0.087 1.262 0.087 1.54 2.55 1.54 309.90000000000003 48.9 59.6 48.9
Zr3C2 3.920541969 -0.417315994 0.283162458 6.6339 11.2603 6.6339 0.427 1.262 0.427 1.33 2.55 1.33 333.70000000000005 79.0 59.6 79.0
Mo3N2 5.071202015 0.31824437 0.705808659 7.0942 14.5341 7.0942 0.749 -0.07 0.749 2.16 3.04 2.16 284.0 70.2 48.8 70.2
